School_ID,School_Name,District,Student_Strength,Current_Teacher_Count,Required_Teacher_Count,Student_Teacher_Ratio,Subject_Wise_Vacancy
SCH0030,Govt. High School North-30,North Delhi,970,37,32,26.22,"{'Hindi': 0, 'Mathematics': 2, 'Science': 2, 'Computer Science': 1, 'Art': 1, 'Sanskrit': 3}"
SCH0031,Govt. Senior Secondary School East-31,East Delhi,1584,49,52,32.33,"{'Science': 2, 'History': 3, 'Hindi': 2, 'Social Science': 0}"
SCH0032,Govt. High School Jodhpur-32,Jodhpur,663,29,22,22.86,"{'English': 3, 'Physical Education': 3, 'Geography': 1, 'Art': 0, 'Biology': 2, 'Hindi': 2}"
SCH0033,Govt. Primary School Jodhpur-33,Jodhpur,848,33,28,25.7,"{'Science': 0, 'Sanskrit': 3, 'Computer Science': 0}"
SCH0034,Govt. Middle School Varanasi-34,Varanasi,1283,43,42,29.84,"{'Chemistry': 2, 'Biology': 2, 'Physical Education': 1, 'Mathematics': 3, 'Science': 1}"
SCH0035,Govt. Primary School South-35,South Delhi,781,33,26,23.67,"{'Art': 1, 'Science': 0, 'Hindi': 0, 'Physical Education': 1}"
SCH0036,Govt. Primary School Noida-36,Noida,895,35,29,25.57,"{'Chemistry': 3, 'English': 3, 'Social Science': 3}"
SCH0037,Govt. High School Jaipur-37,Jaipur,1921,69,64,27.84,"{'Biology': 3, 'Art': 1}"
SCH0038,Govt. Senior Secondary School Kota-38,Kota,1471,52,49,28.29,"{'Computer Science': 2, 'History': 1}"
SCH0039,Govt. Senior Secondary School North-39,North Delhi,1348,39,44,34.56,"{'English': 0, 'Chemistry': 2, 'Biology': 1}"
SCH0040,Govt. High School Jodhpur-40,Jodhpur,732,22,24,33.27,"{'Mathematics': 0, 'English': 0, 'Chemistry': 2, 'Sanskrit': 2, 'Physical Education': 1}"
SCH0041,Govt. Primary School Faridabad-41,Faridabad,1579,57,52,27.7,"{'Chemistry': 0, 'Physical Education': 1, 'Art': 0, 'History': 0}"
SCH0042,Govt. High School Jodhpur-42,Jodhpur,1942,68,64,28.56,"{'Social Science': 3, 'Hindi': 3, 'Mathematics': 2}"
SCH0043,Govt. Senior Secondary School Ajmer-43,Ajmer,1950,65,65,30.0,"{'Mathematics': 3, 'Sanskrit': 3, 'Geography': 3, 'Biology': 0}"
SCH0044,Govt. High School Udaipur-44,Udaipur,1815,55,60,33.0,"{'History': 1, 'Science': 0}"
SCH0045,Govt. Senior Secondary School New-45,New Delhi,541,16,18,33.81,"{'Science': 3, 'Computer Science': 1, 'Hindi': 2, 'Chemistry': 1, 'Sanskrit': 2, 'Physical Education': 0}"
SCH0046,Govt. Senior Secondary School Ajmer-46,Ajmer,1736,52,57,33.38,"{'Science': 3, 'Chemistry': 0, 'Computer Science': 2, 'Geography': 0, 'Physical Education': 1, 'History': 1}"
SCH0047,Govt. Middle School Agra-47,Agra,319,10,10,31.9,"{'Computer Science': 2, 'Physical Education': 0, 'Physics': 3}"
SCH0048,Govt. Middle School Gurgaon-48,Gurgaon,1348,39,44,34.56,"{'English': 2, 'Computer Science': 1, 'Art': 1, 'Social Science': 0, 'Biology': 3}"
SCH0049,Govt. Senior Secondary School Agra-49,Agra,829,27,27,30.7,"{'Biology': 3, 'Geography': 2}"
SCH0050,Govt. Senior Secondary School Ajmer-50,Ajmer,935,32,31,29.22,"{'History': 2, 'Hindi': 3}"
SCH0051,Govt. Middle School Udaipur-51,Udaipur,222,2,7,111.0,"{'Physics': 2, 'Science': 1, 'Hindi': 3}"
SCH0052,Govt. Middle School Lucknow-52,Lucknow,1960,63,65,31.11,"{'Biology': 1, 'History': 1, 'Physical Education': 1}"
SCH0053,Govt. Senior Secondary School Ghaziabad-53,Ghaziabad,1634,49,54,33.35,"{'Social Science': 0, 'Computer Science': 3, 'Science': 2, 'English': 1, 'Sanskrit': 3, 'Physical Education': 0}"
SCH0054,Govt. High School West-54,West Delhi,1894,61,63,31.05,"{'Social Science': 3, 'Geography': 2, 'Hindi': 3, 'Physics': 2}"
SCH0055,Govt. Middle School Noida-55,Noida,1469,45,48,32.64,"{'Biology': 2, 'Social Science': 2, 'Mathematics': 3, 'Science': 3, 'Chemistry': 2, 'Art': 3}"
SCH0056,Govt. Senior Secondary School South-56,South Delhi,588,14,19,42.0,"{'Art': 3, 'English': 3, 'Computer Science': 2, 'Social Science': 1}"
SCH0057,Govt. Primary School New-57,New Delhi,971,27,32,35.96,"{'Physical Education': 2, 'Chemistry': 3, 'History': 0, 'Mathematics': 0, 'Science': 1, 'Geography': 2}"
SCH0058,Govt. Senior Secondary School Central-58,Central Delhi,1538,55,51,27.96,"{'Geography': 2, 'History': 2, 'English': 3, 'Chemistry': 3}"
SCH0059,Govt. Senior Secondary School Central-59,Central Delhi,445,17,14,26.18,"{'Physics': 3, 'Art': 3, 'Mathematics': 0, 'Sanskrit': 1}"
SCH0060,Govt. High School Noida-60,Noida,996,39,33,25.54,"{'Physics': 0, 'Art': 0}"
SCH0061,Govt. Primary School Kota-61,Kota,1283,47,42,27.3,"{'Physical Education': 2, 'English': 0, 'Hindi': 0, 'Art': 2, 'Computer Science': 2, 'Chemistry': 3}"
SCH0062,Govt. High School North-62,North Delhi,307,7,10,43.86,"{'Art': 3, 'Chemistry': 3, 'Computer Science': 1, 'Hindi': 3}"
SCH0063,Govt. High School Faridabad-63,Faridabad,1796,61,59,29.44,"{'Chemistry': 3, 'Mathematics': 2}"
SCH0064,Govt. High School Jodhpur-64,Jodhpur,1748,60,58,29.13,"{'Sanskrit': 3, 'Biology': 1, 'Physics': 3}"
SCH0065,Govt. High School Ghaziabad-65,Ghaziabad,1975,62,65,31.85,"{'Mathematics': 3, 'Computer Science': 1, 'Hindi': 0}"
SCH0066,Govt. Middle School Kanpur-66,Kanpur,198,9,6,22.0,"{'Sanskrit': 0, 'Science': 1, 'Social Science': 3, 'Physics': 1}"
SCH0067,Govt. Primary School Udaipur-67,Udaipur,437,10,14,43.7,"{'Physics': 1, 'Mathematics': 2, 'Science': 3, 'Social Science': 0, 'English': 0, 'Computer Science': 3}"
SCH0068,Govt. Senior Secondary School South-68,South Delhi,260,6,8,43.33,"{'Chemistry': 0, 'Physics': 1, 'Physical Education': 0, 'Art': 3, 'Sanskrit': 3, 'History': 3}"
SCH0069,Govt. Primary School West-69,West Delhi,1515,51,50,29.71,"{'Hindi': 2, 'Social Science': 0, 'Mathematics': 3, 'Chemistry': 0, 'Physical Education': 3, 'History': 3}"
SCH0070,Govt. High School Kota-70,Kota,1054,32,35,32.94,"{'Chemistry': 1, 'Science': 2, 'Computer Science': 1, 'Physics': 1}"
SCH0071,Govt. Middle School Bikaner-71,Bikaner,1793,59,59,30.39,"{'Physical Education': 1, 'Social Science': 0}"
SCH0072,Govt. Middle School Udaipur-72,Udaipur,662,22,22,30.09,"{'Physics': 3, 'Chemistry': 2, 'Physical Education': 2, 'Social Science': 1, 'History': 0}"
SCH0073,Govt. High School Central-73,Central Delhi,897,24,29,37.38,"{'Computer Science': 3, 'Chemistry': 2, 'Sanskrit': 3, 'English': 0, 'Geography': 0}"
SCH0074,Govt. Middle School Ajmer-74,Ajmer,1119,44,37,25.43,"{'History': 3, 'Mathematics': 2, 'Social Science': 3, 'Physical Education': 2, 'Hindi': 3}"
SCH0075,Govt. Middle School Varanasi-75,Varanasi,1172,34,39,34.47,"{'Biology': 3, 'Sanskrit': 3, 'Computer Science': 1, 'Hindi': 0, 'History': 1}"
SCH0076,Govt. High School Jodhpur-76,Jodhpur,1496,49,49,30.53,"{'Social Science': 2, 'History': 3}"
SCH0077,Govt. Middle School Bikaner-77,Bikaner,1868,61,62,30.62,"{'Sanskrit': 3, 'Art': 0}"
SCH0078,Govt. Middle School Gurgaon-78,Gurgaon,596,18,19,33.11,"{'Art': 2, 'Hindi': 2, 'English': 3}"
SCH0079,Govt. Senior Secondary School North-79,North Delhi,1092,34,36,32.12,"{'Biology': 2, 'Geography': 0, 'Science': 0}"
SCH0080,Govt. Primary School Jaipur-80,Jaipur,1027,35,34,29.34,"{'Hindi': 0, 'Physical Education': 3, 'Art': 2, 'Chemistry': 3, 'Biology': 1, 'Computer Science': 0}"
SCH0081,Govt. High School Gurgaon-81,Gurgaon,1858,61,61,30.46,"{'Art': 1, 'Sanskrit': 2}"
SCH0082,Govt. Primary School West-82,West Delhi,1995,68,66,29.34,"{'English': 1, 'Art': 3, 'Physical Education': 2}"
SCH0083,Govt. Primary School Udaipur-83,Udaipur,953,32,31,29.78,"{'History': 1, 'Hindi': 2}"
SCH0084,Govt. Primary School West-84,West Delhi,254,12,8,21.17,"{'Art': 1, 'Biology': 1, 'Computer Science': 0}"
SCH0085,Govt. Middle School Udaipur-85,Udaipur,1227,35,40,35.06,"{'Geography': 0, 'Physical Education': 2, 'History': 1, 'Chemistry': 3, 'Art': 2}"
SCH0086,Govt. High School Jaipur-86,Jaipur,1600,57,53,28.07,"{'Biology': 2, 'Social Science': 1, 'Hindi': 2, 'Computer Science': 1, 'Art': 0}"
SCH0087,Govt. Primary School Udaipur-87,Udaipur,507,23,16,22.04,"{'Social Science': 3, 'Biology': 1, 'Science': 2}"
SCH0088,Govt. High School Ghaziabad-88,Ghaziabad,1948,62,64,31.42,"{'Physics': 0, 'Sanskrit': 3, 'History': 0, 'Science': 3}"
SCH0089,Govt. High School Central-89,Central Delhi,611,26,20,23.5,"{'Chemistry': 2, 'Physical Education': 2, 'English': 2}"
SCH0090,Govt. Senior Secondary School Noida-90,Noida,1215,36,40,33.75,"{'Chemistry': 1, 'Physics': 3, 'History': 2, 'Biology': 2, 'Sanskrit': 1}"
SCH0091,Govt. High School South-91,South Delhi,150,8,5,18.75,"{'Chemistry': 1, 'Art': 2, 'Geography': 1, 'Mathematics': 0, 'Physical Education': 1}"
SCH0092,Govt. Primary School Kanpur-92,Kanpur,413,17,13,24.29,"{'Physics': 1, 'Social Science': 0}"
SCH0093,Govt. Primary School Kanpur-93,Kanpur,1815,64,60,28.36,"{'Physical Education': 1, 'Sanskrit': 2, 'History': 1, 'Geography': 2, 'Hindi': 3, 'Biology': 0}"
SCH0094,Govt. Middle School Gurgaon-94,Gurgaon,1092,38,36,28.74,"{'Biology': 0, 'Mathematics': 3, 'Chemistry': 3, 'Physics': 3, 'Physical Education': 0}"
SCH0095,Govt. Primary School New-95,New Delhi,1226,38,40,32.26,"{'Geography': 1, 'History': 0, 'Mathematics': 3}"
SCH0096,Govt. Senior Secondary School Kanpur-96,Kanpur,983,29,32,33.9,"{'Computer Science': 2, 'Chemistry': 3}"
SCH0097,Govt. Primary School Central-97,Central Delhi,1943,71,64,27.37,"{'Mathematics': 1, 'Social Science': 3, 'Chemistry': 1}"
SCH0098,Govt. High School Agra-98,Agra,1793,56,59,32.02,"{'Physics': 0, 'Sanskrit': 3, 'Chemistry': 2, 'Social Science': 2, 'Physical Education': 3}"
SCH0099,Govt. Senior Secondary School Faridabad-99,Faridabad,1181,40,39,29.52,"{'Mathematics': 1, 'Physical Education': 0, 'History': 1, 'Sanskrit': 0, 'Physics': 1}"
SCH0100,Govt. Senior Secondary School Gurgaon-100,Gurgaon,890,32,29,27.81,"{'Art': 3, 'Mathematics': 0}"
SCH0101,Govt. High School Gurgaon-101,Gurgaon,1764,62,58,28.45,"{'Geography': 1, 'English': 0}"
SCH0102,Govt. High School Gurgaon-102,Gurgaon,1874,58,62,32.31,"{'Computer Science': 3, 'Science': 1, 'Geography': 1, 'Hindi': 3, 'Biology': 0}"
SCH0103,Govt. Middle School Faridabad-103,Faridabad,587,26,19,22.58,"{'Geography': 0, 'Sanskrit': 0, 'Physical Education': 3}"
SCH0104,Govt. High School West-104,West Delhi,1312,44,43,29.82,"{'Science': 3, 'Geography': 2, 'Mathematics': 0, 'Social Science': 1}"
SCH0105,Govt. Primary School Ajmer-105,Ajmer,960,33,32,29.09,"{'Physical Education': 2, 'Hindi': 3, 'Science': 1, 'Geography': 3, 'Art': 2}"
SCH0106,Govt. Middle School West-106,West Delhi,1096,36,36,30.44,"{'Art': 0, 'Science': 0, 'Geography': 1, 'Mathematics': 3, 'Physics': 0, 'History': 2}"
SCH0107,Govt. Middle School Varanasi-107,Varanasi,1108,34,36,32.59,"{'History': 0, 'Computer Science': 3}"
SCH0108,Govt. Senior Secondary School Agra-108,Agra,1011,37,33,27.32,"{'Sanskrit': 1, 'Biology': 3, 'Science': 0, 'Chemistry': 2, 'Physics': 3}"
SCH0109,Govt. High School Jaipur-109,Jaipur,1412,46,47,30.7,"{'English': 2, 'Physical Education': 1, 'History': 1, 'Computer Science': 1, 'Social Science': 0}"
SCH0110,Govt. Primary School Bikaner-110,Bikaner,1223,36,40,33.97,"{'Chemistry': 3, 'Physical Education': 2, 'Geography': 1, 'Social Science': 1, 'Physics': 2}"
SCH0111,Govt. Senior Secondary School Gurgaon-111,Gurgaon,541,13,18,41.62,"{'Biology': 3, 'Hindi': 0, 'Sanskrit': 0, 'Geography': 3}"
SCH0112,Govt. Primary School Bikaner-112,Bikaner,1139,39,37,29.21,"{'Mathematics': 3, 'Biology': 2, 'Physics': 1, 'English': 0}"
SCH0113,Govt. High School Jodhpur-113,Jodhpur,995,38,33,26.18,"{'Art': 3, 'Social Science': 3, 'Physics': 3, 'Sanskrit': 1}"
SCH0114,Govt. Middle School Bikaner-114,Bikaner,1798,65,59,27.66,"{'Mathematics': 0, 'History': 0, 'Hindi': 0, 'Science': 2, 'Physical Education': 2, 'Chemistry': 0}"
SCH0115,Govt. High School Jodhpur-115,Jodhpur,1391,43,46,32.35,"{'Computer Science': 0, 'Physical Education': 0, 'Biology': 3, 'Art': 1, 'Mathematics': 2}"
SCH0116,Govt. Middle School East-116,East Delhi,1679,62,55,27.08,"{'Chemistry': 0, 'Physical Education': 3, 'Hindi': 2}"
SCH0117,Govt. Middle School Ghaziabad-117,Ghaziabad,1425,43,47,33.14,"{'History': 0, 'Sanskrit': 2, 'Physics': 1, 'Chemistry': 2, 'Art': 2}"
SCH0118,Govt. Middle School Agra-118,Agra,948,35,31,27.09,"{'Social Science': 3, 'Sanskrit': 0, 'Art': 1, 'Hindi': 1, 'Science': 1}"
SCH0119,Govt. Middle School Noida-119,Noida,1121,33,37,33.97,"{'Physical Education': 2, 'History': 0}"
SCH0120,Govt. High School New-120,New Delhi,1319,47,43,28.06,"{'Physical Education': 0, 'Biology': 1, 'Social Science': 0}"
SCH0121,Govt. Middle School Ajmer-121,Ajmer,1198,46,39,26.04,"{'Sanskrit': 3, 'Hindi': 3}"
SCH0122,Govt. High School Ghaziabad-122,Ghaziabad,828,26,27,31.85,"{'English': 0, 'Social Science': 0, 'Mathematics': 3, 'History': 1}"
SCH0123,Govt. Middle School Central-123,Central Delhi,1992,69,66,28.87,"{'Mathematics': 3, 'History': 3}"
SCH0124,Govt. High School Ghaziabad-124,Ghaziabad,838,22,27,38.09,"{'Science': 2, 'Mathematics': 3, 'Geography': 3, 'Social Science': 1, 'Biology': 0}"
SCH0125,Govt. Primary School Jodhpur-125,Jodhpur,195,8,6,24.38,"{'English': 2, 'Mathematics': 1, 'Social Science': 3, 'Biology': 0}"
SCH0126,Govt. Senior Secondary School West-126,West Delhi,1903,58,63,32.81,"{'Biology': 2, 'Science': 0, 'Geography': 2, 'Computer Science': 0, 'Mathematics': 2}"
SCH0127,Govt. High School Central-127,Central Delhi,972,27,32,36.0,"{'Social Science': 0, 'Science': 1, 'Hindi': 3, 'Art': 3, 'History': 0, 'Chemistry': 1}"
SCH0128,Govt. High School Bikaner-128,Bikaner,496,21,16,23.62,"{'Chemistry': 2, 'Biology': 0, 'Art': 3, 'Social Science': 3, 'Geography': 0, 'Sanskrit': 0}"
SCH0129,Govt. Senior Secondary School Ghaziabad-129,Ghaziabad,175,8,5,21.88,"{'Physical Education': 2, 'Science': 3, 'Hindi': 1, 'Computer Science': 2, 'Sanskrit': 3, 'Social Science': 3}"
SCH0130,Govt. High School East-130,East Delhi,950,35,31,27.14,"{'English': 2, 'History': 3, 'Science': 0}"
SCH0131,Govt. Senior Secondary School New-131,New Delhi,1192,36,39,33.11,"{'Biology': 3, 'Physical Education': 0, 'Geography': 3, 'Sanskrit': 2, 'Social Science': 0}"
SCH0132,Govt. High School South-132,South Delhi,1607,52,53,30.9,"{'Physical Education': 2, 'Social Science': 3, 'Sanskrit': 0, 'Biology': 2}"
SCH0133,Govt. High School East-133,East Delhi,208,5,6,41.6,"{'Art': 1, 'Sanskrit': 1, 'Computer Science': 2, 'Geography': 1}"
SCH0134,Govt. Primary School Noida-134,Noida,1346,48,44,28.04,"{'History': 0, 'Hindi': 2}"
SCH0135,Govt. Middle School Central-135,Central Delhi,1338,51,44,26.24,"{'Science': 2, 'Mathematics': 2, 'English': 1}"
SCH0136,Govt. Middle School Ghaziabad-136,Ghaziabad,850,34,28,25.0,"{'Science': 0, 'Biology': 1, 'Physical Education': 1, 'Social Science': 3, 'Chemistry': 0}"
SCH0137,Govt. Primary School Faridabad-137,Faridabad,1376,45,45,30.58,"{'Science': 2, 'Geography': 1, 'Mathematics': 0, 'Chemistry': 3, 'Physics': 1}"
SCH0138,Govt. Middle School Bikaner-138,Bikaner,1516,46,50,32.96,"{'Science': 2, 'Hindi': 1}"
SCH0139,Govt. Senior Secondary School Ajmer-139,Ajmer,1317,42,43,31.36,"{'Geography': 0, 'Mathematics': 0, 'English': 1, 'Biology': 2}"
SCH0140,Govt. Primary School Udaipur-140,Udaipur,1771,66,59,26.83,"{'English': 0, 'Geography': 1, 'Chemistry': 3, 'Computer Science': 0}"
SCH0141,Govt. Senior Secondary School Jodhpur-141,Jodhpur,610,21,20,29.05,"{'Physics': 0, 'Chemistry': 0, 'Sanskrit': 3, 'Physical Education': 3, 'Science': 1}"
SCH0142,Govt. Middle School New-142,New Delhi,1375,42,45,32.74,"{'Physical Education': 0, 'Biology': 3, 'Social Science': 1, 'Computer Science': 2, 'Chemistry': 2}"
SCH0143,Govt. Senior Secondary School Kota-143,Kota,813,31,27,26.23,"{'Science': 2, 'Physics': 2, 'Social Science': 1, 'Art': 2, 'Sanskrit': 0}"
SCH0144,Govt. Senior Secondary School Kanpur-144,Kanpur,752,21,25,35.81,"{'Biology': 3, 'Chemistry': 1, 'Mathematics': 1, 'Hindi': 3, 'History': 3, 'Physics': 3}"
SCH0145,Govt. Primary School Bikaner-145,Bikaner,928,33,30,28.12,"{'Art': 2, 'Mathematics': 0, 'Hindi': 2, 'Social Science': 0, 'History': 3}"
SCH0146,Govt. Middle School Central-146,Central Delhi,289,12,9,24.08,"{'Physical Education': 2, 'Biology': 3, 'Science': 0, 'Mathematics': 0, 'Geography': 3}"
SCH0147,Govt. High School Gurgaon-147,Gurgaon,1028,34,34,30.24,"{'History': 0, 'Mathematics': 1, 'Sanskrit': 1, 'Chemistry': 3}"
SCH0148,Govt. High School East-148,East Delhi,784,33,26,23.76,"{'Biology': 0, 'Science': 2}"
SCH0149,Govt. Primary School Central-149,Central Delhi,1272,42,42,30.29,"{'History': 0, 'Physical Education': 2, 'Social Science': 3, 'Chemistry': 0}"
SCH0150,Govt. Primary School Jodhpur-150,Jodhpur,1799,56,59,32.12,"{'Biology': 2, 'History': 3, 'English': 0}"
SCH0151,Govt. High School Kanpur-151,Kanpur,1525,53,50,28.77,"{'History': 0, 'Physical Education': 1, 'English': 2, 'Science': 2, 'Social Science': 0, 'Chemistry': 0}"
SCH0152,Govt. Middle School Agra-152,Agra,1689,56,56,30.16,"{'Social Science': 2, 'Physical Education': 3}"
SCH0153,Govt. Primary School Ghaziabad-153,Ghaziabad,570,22,19,25.91,"{'Biology': 2, 'History': 3, 'Sanskrit': 1}"
SCH0154,Govt. Middle School Lucknow-154,Lucknow,835,29,27,28.79,"{'Art': 1, 'History': 3, 'Chemistry': 3, 'Biology': 3, 'Physics': 0, 'Hindi': 3}"
SCH0155,Govt. Primary School Gurgaon-155,Gurgaon,1245,47,41,26.49,"{'Sanskrit': 3, 'Art': 1, 'Chemistry': 3}"
SCH0156,Govt. Middle School South-156,South Delhi,797,32,26,24.91,"{'Physical Education': 1, 'Art': 3, 'Chemistry': 3, 'Sanskrit': 0, 'English': 0}"
SCH0157,Govt. Senior Secondary School Jodhpur-157,Jodhpur,839,32,27,26.22,"{'History': 1, 'Geography': 2, 'Physics': 0}"
SCH0158,Govt. Primary School West-158,West Delhi,1324,39,44,33.95,"{'History': 0, 'Biology': 3}"
SCH0159,Govt. High School North-159,North Delhi,560,24,18,23.33,"{'Sanskrit': 3, 'Computer Science': 0, 'English': 0, 'Science': 1, 'Biology': 2}"
SCH0160,Govt. Middle School Faridabad-160,Faridabad,1376,45,45,30.58,"{'Physical Education': 1, 'Chemistry': 2, 'Computer Science': 3, 'Science': 0, 'Physics': 2, 'History': 0}"
SCH0161,Govt. Middle School Kanpur-161,Kanpur,549,22,18,24.95,"{'Sanskrit': 3, 'History': 1, 'Mathematics': 1, 'Geography': 2, 'Science': 0}"
SCH0162,Govt. Middle School Gurgaon-162,Gurgaon,1128,38,37,29.68,"{'Physical Education': 3, 'Science': 0, 'Chemistry': 1}"
SCH0163,Govt. Senior Secondary School West-163,West Delhi,1188,35,39,33.94,"{'English': 3, 'Physical Education': 2, 'Social Science': 0, 'Mathematics': 2, 'Computer Science': 0}"
SCH0164,Govt. Senior Secondary School Agra-164,Agra,1405,49,46,28.67,"{'Physics': 1, 'Sanskrit': 2, 'Chemistry': 2, 'English': 0}"
SCH0165,Govt. Primary School Gurgaon-165,Gurgaon,1584,47,52,33.7,"{'Computer Science': 1, 'Art': 0, 'English': 2, 'Physical Education': 2, 'Sanskrit': 0, 'Science': 0}"
SCH0166,Govt. Primary School Bikaner-166,Bikaner,922,30,30,30.73,"{'Computer Science': 3, 'Hindi': 0, 'Biology': 0, 'Geography': 2, 'English': 0, 'Art': 1}"
SCH0167,Govt. Middle School Jaipur-167,Jaipur,870,28,29,31.07,"{'Social Science': 2, 'Computer Science': 0, 'Mathematics': 0, 'Biology': 0, 'Sanskrit': 1}"
SCH0168,Govt. High School Kota-168,Kota,1581,49,52,32.27,"{'Biology': 0, 'Physics': 0}"
SCH0169,Govt. Middle School Ajmer-169,Ajmer,1201,43,40,27.93,"{'Physical Education': 1, 'Social Science': 0, 'Biology': 2, 'Art': 0, 'Hindi': 0}"
SCH0170,Govt. Primary School Kanpur-170,Kanpur,1895,58,63,32.67,"{'Hindi': 0, 'Chemistry': 3}"
SCH0171,Govt. Middle School Ajmer-171,Ajmer,1923,60,64,32.05,"{'Social Science': 3, 'Physical Education': 2, 'Sanskrit': 3, 'Mathematics': 2, 'Chemistry': 1, 'Art': 1}"
SCH0172,Govt. Senior Secondary School North-172,North Delhi,773,25,25,30.92,"{'Physical Education': 1, 'Biology': 2, 'Social Science': 2, 'Hindi': 1, 'Geography': 3, 'Physics': 0}"
SCH0173,Govt. High School Gurgaon-173,Gurgaon,1177,45,39,26.16,"{'Social Science': 0, 'Computer Science': 1, 'Physical Education': 1, 'Art': 2, 'English': 0, 'Science': 0}"
